entityId,TTrvD,TTrvAS,x_center,y_center,radius,numStayPointsVisits,avgTimeVisit,num_travels,avg_travel_time,avg_travel_distance,avg_travel_avg_speed
15,28740.44313,3.68467,439119.42915,6454878.63883,6419.47147,44,78.61363636363636,34,61.1764705882353,377.2521814544847,4.2652748686006765
16,26593.91147,3.40948,438056.63879,6456056.26845,6683.13042,27,155.07407407407408,32,64.25,432.65729446023585,3.9527966650304935
17,26721.18281,3.42579,438230.45009,6456131.00343,6751.81824,25,169.56,27,75.11111111111111,516.1663431521893,4.396603354149243
18,27067.56577,3.4702,438109.71492,6456192.77128,6868.81385,22,184.36363636363637,26,77.15384615384616,528.3204897914123,4.386496043034436
19,27235.3309,3.49171,438317.14748,6456064.86894,7055.8652,35,112.4,20,98.35,685.3782586099385,5.22846327582112
20,27906.07683,3.5777,438364.29077,6456035.70837,7168.17437,35,111.25714285714285,18,108.05555555555556,758.8314740770318,5.6251226231058435
21,27900.32726,3.57697,438308.92578,6456220.61921,7299.97341,31,123.61290322580645,18,107.77777777777777,753.8770636962938,5.446986484154314
22,28661.42393,3.67454,438538.72021,6455404.98333,6703.9037,38,96.86842105263158,17,113.47058823529412,692.6486789472355,5.68502276682346
23,29121.23254,3.73349,438515.26162,6455405.64821,6779.91394,38,94.84210526315789,17,112.23529411764706,682.1536789865066,5.608368388685242
24,29171.66896,3.73996,438530.84428,6455473.15392,6837.31739,36,99.25,16,118.4375,724.441335326269,5.797287979909883
25,31461.08314,4.03347,434367.75815,6460467.82576,9306.86333,11,400.0,16,115.5625,65.56287624865718,3.0548535498585867
26,36753.14306,4.71194,434626.19829,6460766.87927,9584.39999,7,525.4285714285714,16,115.5625,227.42675028015984,3.634442064241027
27,32120.73536,4.11804,434615.14944,6461642.18019,9072.84853,15,273.53333333333336,17,107.41176470588235,174.7336572944586,3.7616358951305426
28,32099.89789,4.11537,434594.18113,6461655.54822,9168.21912,20,206.25,18,99.94444444444444,145.88592010435036,3.6453785781884296
29,31898.7522,4.08958,434690.83023,6461750.40525,9201.78058,6,635.1666666666666,18,100.11111111111111,138.38084342987463,3.488242940673485
30,32455.39509,4.16095,434548.28593,6461544.07945,9015.71006,15,275.06666666666666,18,100.11111111111111,166.6895196964926,3.915747075020045
31,31930.5953,4.09367,434660.05819,6461763.26211,9339.14817,15,269.26666666666665,23,72.21739130434783,83.29171099784784,3.176340993649202
32,31546.6727,4.04445,434710.64787,6461882.80465,9370.60848,12,329.8333333333333,26,61.19230769230769,57.399174378957,3.468665426803116
33,31616.38469,4.05338,434691.02488,6461898.98627,9444.76332,12,330.0833333333333,23,69.04347826086956,65.15123954403448,3.3995598353115493
34,31494.09837,4.0377,434727.44259,6462046.13396,9560.5855,14,292.2142857142857,23,69.04347826086956,57.69710347645439,3.591791989820128
35,31809.5163,4.07814,434712.00461,6462039.66422,9635.1876,16,255.4375,23,69.04347826086956,58.18642545653363,3.505086546647662
36,31585.96713,4.04948,434749.86022,6462148.71222,9664.84994,12,342.4166666666667,23,69.04347826086956,51.914578251615744,3.7843034214888984
37,30489.26194,3.90888,434525.49352,6459650.5193,9403.09868,5,855.8,23,69.04347826086956,29.38721572738761,1.864411804944748
38,30649.46119,3.92942,434498.46127,6459770.75783,9421.14583,5,852.8,23,69.04347826086956,27.072480739242174,1.7953461883446236
39,31003.04503,3.97475,434469.74871,6459891.07921,9459.22253,8,542.25,25,61.48,18.05588058866142,1.7637211194803646
40,32105.76649,4.11612,434319.60585,6460273.31162,9129.72151,7,605.4285714285714,25,61.48,21.587629225085657,2.799661966829221
41,31317.98571,4.01513,434410.40764,6460361.79513,9258.21826,10,437.6,24,62.916666666666664,16.676934483292445,2.454492684828534
