entityId,TTrvD,TTrvAS,x_center,y_center,radius,numStayPointsVisits,avgTimeVisit,num_travels,avg_travel_time,avg_travel_distance,avg_travel_avg_speed
137,36718.495,4.7075,433665.74607,6466944.85141,10449.37691,13,271.38461538461536,14,40.214285714285715,9.275396729159084,1.5711730940773445
138,36927.52781,4.7343,433674.48239,6467702.45717,10244.68637,13,267.9230769230769,14,40.214285714285715,10.789401213737372,2.5341797034637543
139,24729.4284,3.17044,436720.87047,6461515.04155,7520.31847,12,398.6666666666667,14,40.214285714285715,91.48488340396364,3.051254248204047
140,24847.63272,3.18559,436660.10324,6461664.4281,7502.97147,13,367.7692307692308,14,40.214285714285715,91.87075729598742,3.501269737321413
141,36787.02517,4.71629,433720.96293,6466760.31141,10469.32377,14,253.21428571428572,13,43.23076923076923,10.349945252442195,1.305875333048274
142,36775.35548,4.71479,433693.13802,6466845.52763,10455.90733,13,270.46153846153845,14,40.214285714285715,9.958668662304044,1.6252748670677328
143,25496.5171,3.26878,437044.8494,6460223.31615,7542.9595,23,213.43478260869566,14,40.214285714285715,96.8113195887429,3.51836975286308
144,25495.28812,3.26863,436921.59568,6460483.83176,7580.21269,24,202.41666666666666,14,40.214285714285715,97.95507261325655,3.1251862652109987
145,25511.24977,3.27067,436905.63243,6460619.71577,7536.84478,27,179.77777777777777,14,40.214285714285715,94.7271942030019,3.267961634937554
146,25502.37898,3.26954,437047.5335,6460285.79749,7467.47407,20,243.2,14,40.214285714285715,94.98240965230575,3.4105068120435993
147,25513.53556,3.27097,437079.91882,6460153.58795,7443.32536,22,223.95454545454547,14,40.214285714285715,92.41419686833164,3.4225360840373904
148,25500.46992,3.26929,436938.14335,6460569.50768,7461.3196,24,203.5,14,40.214285714285715,99.75306315948087,3.4506654744228453
149,25488.19634,3.26772,436991.30225,6460407.788,7495.77119,22,219.3181818181818,14,40.214285714285715,93.8525944859397,3.296226752541547
150,25600.78669,3.28215,436800.92894,6460809.3628,7617.86207,29,166.24137931034483,14,40.214285714285715,91.23551279585949,3.4935791527489357
151,37050.27984,4.75004,433764.90929,6467196.87152,10386.33645,17,207.35294117647058,14,40.214285714285715,9.963841107184834,1.9281993655027523
152,37094.9976,4.75577,433730.58778,6467623.90032,10258.01542,15,232.26666666666668,14,40.214285714285715,10.137619620126557,1.9239572529902524
153,37151.82786,4.76305,433700.87316,6467945.54632,10170.63358,7,471.85714285714283,14,40.214285714285715,9.797960564154648,1.8153280635897773
154,37112.86355,4.75806,433658.82062,6468130.34314,10080.52649,6,560.3333333333334,14,40.214285714285715,9.567682536243295,1.2372540410801054
155,37011.7006,4.74509,433629.75257,6468227.3333,10051.93091,6,565.8333333333334,14,40.214285714285715,9.563993655044673,1.246436855441802
156,36994.5787,4.74289,433583.83146,6468301.50873,10022.84031,6,567.8333333333334,14,40.214285714285715,9.40310904469384,1.2384319812137095
157,36964.41558,4.73903,433612.43809,6468047.87394,10121.51029,10,344.9,14,40.214285714285715,10.211789772451224,1.9022121234899732
158,25260.55027,3.23853,435581.96296,6462839.88592,7530.82401,21,243.8095238095238,13,43.23076923076923,71.00771770622137,4.334163697264289
159,30784.95336,3.94679,435053.09254,6464370.53732,8804.42186,15,307.06666666666666,13,43.23076923076923,43.60391471122465,3.0520533671606973
160,30182.38002,3.86954,434495.98333,6464089.32682,8536.80217,12,308.1666666666667,9,10.11111111111111,38.536534221570896,3.7361117826049033
161,30507.08963,3.91117,434703.11089,6465918.36268,8265.59541,17,272.52941176470586,11,10.090909090909092,20.766900915712494,4.093995281434118
162,28120.62251,3.60521,434842.25616,6463966.11345,8521.0302,15,276.06666666666666,10,10.1,16.58029221538023,1.278529162298027
163,29370.28581,3.76542,436024.89177,6462503.55786,8321.27771,14,298.14285714285717,10,10.1,37.61305221132577,3.4686121073685867
164,29018.85489,3.72037,434857.56489,6465590.09479,8152.48778,17,272.4117647058824,10,11.5,48.8231663055149,3.2955417389572808
165,26372.37522,3.38107,435171.47083,6464672.55102,7871.94446,18,246.16666666666666,10,7.4,16.914404859233535,1.9683893834623034
166,25474.70372,3.26599,435446.19665,6463549.81841,7218.14677,19,265.57894736842104,10,7.4,55.07380453269597,3.721998163700006
167,27278.99176,3.49731,434956.6484,6463718.26288,8430.45059,19,254.05263157894737,9,7.666666666666667,7.808578159877715,2.857455543677229
