t, x, y, z
0, 53, 32, 0
1, 69.5351175967956, 17.26157650955055, 0
2, 86.0702351935912, 2.5231530191011036, 0
3, 97.3946472096132, 12.215270471348354, 0
4, 94.74501484047332, 14.5769956735903, 0
5, 97.99640410667249, 38.43305089124027, 0
6, 90.73782305381829, 62.289106108890245, 0
7, 84.87870133647421, 81.54569774823418, 0
8, 82.0627758061312, 87.97258767029251, 0
9, 79.24685027578819, 94.39947759235085, 0
10, 76.43092474544518, 99.17363248559082, 0
11, 73.61499921510217, 92.74674256353248, 0
12, 70.79907368475916, 86.31985264147414, 0
13, 67.98314815441616, 79.8929627194158, 0
14, 65.16722262407315, 73.46607279735747, 0
15, 62.35129709373014, 67.03918287529913, 0
16, 59.53537156338713, 60.61229295324079, 0
17, 56.78654361442608, 54.33854229744908, 0
18, 43.219846107511785, 53.61418974924525, 0
19, 29.65314860059749, 52.889837201041416, 0
20, 16.086451093683195, 52.165484652837584, 0
21, 2.5197535867689, 51.44113210463375, 0
22, 11.046943920145395, 50.71677955642992, 0
23, 13.113894658064373, 50.60642100872438, 0
24, 10.089502488236075, 68.48107052593974, 0
25, 7.065110318407776, 86.35572004315512, 0
26, 4.040718148579476, 95.76963043962951, 0
27, 1.4358724165369785, 80.37456859177487, 0
28, 22.884092764529633, 46.752212216098, 0
29, 39.58964389214376, 23.656784682262238, 0
30, 24.219645361677706, 36.019011251596325, 0
31, 8.849646831211652, 48.38123782093041, 0
32, 6.520351699254403, 60.74346439026449, 0
33, 14.956334642606695, 67.52860052895979, 0
34, 11.792419969578463, 57.66157606760498, 0
35, 38.54117458176362, 47.79455160625018, 0
36, 50.71794547629305, 43.30280991514721, 0
37, 19.743031108893295, 30.04152767740363, 0
38, 11.23188325850646, 16.78024543966005, 0
39, 13.632493024561489, 15.752472988936345, 0
40, 44.59712177650316, 7.859723015175452, 0
41, 69.29529241013903, 26.69340743026276, 0
42, 56.33116660432555, 22.380072168419836, 0
43, 43.36704079851208, 18.066736906576914, 0
44, 30.402914992698605, 13.753401644733993, 0
45, 17.43878918688513, 9.440066382891072, 0
46, 4.474663381071659, 5.1267311210481505, 0
47, 2.8751142852288014, 4.59454008699832, 0
48, 18.578127583342123, 3.497005538022353, 0
49, 34.28114088145544, 2.399470989046386, 0
