time,x,y,id
0,0.0,0,1
0,1000.0,0,2
1,0.310715572263608,0.2579517225935906,1
1,991.6588382181436,7.647070818487716,2
2,0.621431144527216,0.5159034451871812,1
2,983.3176764362872,15.294141636975457,2
3,0.9321467167908241,0.7738551677807719,1
3,974.9765146544308,22.941212455463198,2
4,1.242862289054432,1.0318068903743625,1
4,966.6353528725745,30.58828327395094,2
5,1.5535778613180402,1.289758612967953,1
5,958.2941910907181,38.235354092438676,2
6,1.8642934335816483,1.5477103355615436,1
6,949.9530293088617,45.88242491092642,2
7,2.1750090058452565,1.8056620581551341,1
7,941.6118675270053,53.52949572941416,2
8,2.4857245781088646,2.063613780748725,1
8,933.2707057451489,61.1765665479019,2
9,2.7964401503724727,2.3215655033423155,1
9,924.9295439632925,68.82363736638963,2
10,3.107155722636081,2.579517225935906,1
10,916.5883821814361,76.47070818487737,2
11,3.417871294899689,2.8374689485294966,1
11,908.2472203995798,84.1177790033651,2
12,3.728586867163297,3.095420671123087,1
12,899.9060586177234,91.76484982185283,2
13,4.039302439426905,3.3533723937166777,1
13,891.564896835867,99.41192064034057,2
14,4.350018011690513,3.6113241163102683,1
14,883.2237350540106,107.0589914588283,2
15,4.660733583954121,3.869275838903859,1
15,874.8825732721542,114.70606227731604,2
16,4.971449156217729,4.12722756149745,1
16,866.5414114902978,122.35313309580377,2
17,5.282164728481337,4.38517928409104,1
17,858.2002497084414,130.00020391429152,2
18,5.5928803007449455,4.643131006684631,1
18,849.8590879265851,137.64727473277927,2
19,5.903595873008554,4.9010827292782215,1
19,841.5179261447287,145.294345551267,2
20,6.214311445272162,5.159034451871812,1
20,833.1767643628723,152.94141636975476,2
21,6.52502701753577,5.416986174465403,1
21,824.8356025810159,160.5884871882425,2
22,6.835742589799378,5.674937897058993,1
22,816.4944407991595,168.23555800673026,2
23,7.146458162062986,5.932889619652584,1
23,808.1532790173031,175.882628825218,2
24,7.457173734326594,6.190841342246174,1
24,799.8121172354467,183.52969964370575,2
25,7.767889306590202,6.448793064839765,1
25,791.4709554535904,191.1767704621935,2
26,8.07860487885381,6.7067447874333554,1
26,783.129793671734,198.82384128068125,2
27,8.389320451117417,6.964696510026946,1
27,774.7886318898776,206.470912099169,2
28,8.700036023381024,7.222648232620537,1
28,766.4474701080212,214.11798291765675,2
29,9.010751595644631,7.480599955214127,1
29,758.1063083261648,221.7650537361445,2
30,9.321467167908239,7.738551677807718,1
30,749.7651465443084,229.41212455463224,2
31,9.632182740171846,7.996503400401308,1
31,741.423984762452,237.05919537312,2
32,9.942898312435453,8.2544551229949,1
32,733.0828229805957,244.70626619160774,2
33,10.25361388469906,8.51240684558849,1
33,724.7416611987393,252.3533370100955,2
34,10.564329456962668,8.77035856818208,1
34,716.4004994168829,260.0004078285832,2
35,10.875045029226275,9.028310290775671,1
35,708.0593376350265,267.64747864707095,2
36,11.185760601489882,9.286262013369262,1
36,699.7181758531701,275.2945494655587,2
37,11.49647617375349,9.544213735962852,1
37,691.3770140713137,282.94162028404645,2
38,11.807191746017097,9.802165458556443,1
38,683.0358522894574,290.5886911025342,2
39,12.117907318280704,10.060117181150034,1
39,674.694690507601,298.23576192102195,2
40,12.428622890544311,10.318068903743624,1
40,666.3535287257446,305.8828327395097,2
41,12.739338462807918,10.576020626337215,1
41,658.0123669438882,313.52990355799744,2
42,13.050054035071526,10.833972348930805,1
42,649.6712051620318,321.1769743764852,2
